"id","name","rtsp_link","hls_link","status","last_data_received","created_at","updated_at","region_id"
"01178b97-aa01-457f-bf57-97c1c9e13723","CH25","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=25&subtype=0","",True,NULL,"2025-07-31 17:08:47.393155+05:30","2025-07-31 17:08:47.393176+05:30",4
"06657443-6a42-4ca4-b042-e3d665e7b864","CH9","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=9&subtype=0","",True,NULL,"2025-07-31 17:08:47.301065+05:30","2025-07-31 17:08:47.301083+05:30",2
"0cbd9d0e-faa4-4e25-bbea-1aedd65875ee","CH27","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=27&subtype=0","",True,NULL,"2025-07-31 17:08:47.402679+05:30","2025-07-31 17:08:47.402689+05:30",4
"12f444e5-058a-4946-88e1-0538e0a94916","CH13","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=13&subtype=0","",True,NULL,"2025-07-31 17:08:47.330531+05:30","2025-07-31 17:08:47.33056+05:30",2
"13b6a834-d951-4291-b170-d700046b2250","CH3","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=3&subtype=0","",True,NULL,"2025-07-31 17:08:47.268366+05:30","2025-07-31 17:08:47.268399+05:30",1
"176f870c-f4ae-436f-8106-1136d23dded3","CH17","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=17&subtype=0","",True,NULL,"2025-07-31 17:08:47.352599+05:30","2025-07-31 17:08:47.352617+05:30",3
"4089cbe8-f114-4681-a45c-281dcaaf3219","CH28","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=28&subtype=0","",True,NULL,"2025-07-31 17:08:47.408765+05:30","2025-07-31 17:08:47.408795+05:30",4
"40f1dc15-c744-48c0-b032-166cf63c3ce8","CH31","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=31&subtype=0","",True,NULL,"2025-07-31 17:08:47.4331+05:30","2025-07-31 17:08:47.433121+05:30",4
"4f6bbb8b-0da5-47b0-8562-210b19e24da8","CH19","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=19&subtype=0","",True,NULL,"2025-07-31 17:08:47.362631+05:30","2025-07-31 17:08:47.362652+05:30",3
"556128fe-bb27-4091-b6f2-a6d9214da3fc","CH14","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=14&subtype=0","",True,NULL,"2025-07-31 17:08:47.337521+05:30","2025-07-31 17:08:47.337541+05:30",2
"64db51f4-6429-4452-a047-54932a4cb725","CH15","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=15&subtype=0","",True,"2025-07-31 17:09:10.471291+05:30","2025-07-31 17:08:47.342571+05:30","2025-07-31 17:08:47.342589+05:30",2
"6868588e-9072-4df3-9686-f247f99f97d2","CH21","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=21&subtype=0","",True,NULL,"2025-07-31 17:08:47.371909+05:30","2025-07-31 17:08:47.371927+05:30",3
"6991d826-da4d-4547-bed0-5aa28779c378","CH8","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=8&subtype=0","",True,NULL,"2025-07-31 17:08:47.2963+05:30","2025-07-31 17:08:47.296321+05:30",1
"6d483598-2f58-4784-aafb-4d386c00cf34","CH23","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=23&subtype=0","",True,NULL,"2025-07-31 17:08:47.381465+05:30","2025-07-31 17:08:47.381483+05:30",3
"6e07f1d2-eff2-435d-a847-ac2b4eb36a2f","CH11","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=11&subtype=0","",True,NULL,"2025-07-31 17:08:47.314421+05:30","2025-07-31 17:08:47.314449+05:30",2
"7bb89e97-91f1-479b-bbda-ca74b0bbcced","CH1","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=1&subtype=0","",True,NULL,"2025-07-31 17:08:47.256033+05:30","2025-07-31 17:08:47.256044+05:30",1
"9454ba12-1cf2-4aea-994a-36da8b4aaeab","CH20","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=20&subtype=0","",True,NULL,"2025-07-31 17:08:47.367474+05:30","2025-07-31 17:08:47.367492+05:30",3
"98b16d80-b828-44ab-97bf-60b07324120d","CH16","rtsp://admin:admin@123@172.17.41.201:80/rtsp/streaming?channel=16&subtype=0","",True,"2025-07-31 17:09:43.24247+05:30","2025-07-31 17:08:47.34778+05:30","2025-07-31 17:08:47.3478+05:30",2
